[INFO][tm:2018-12-28 20:12:44,506][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[INFO][tm:2018-12-28 20:12:50,121][pt:7900:2904][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[INFO][tm:2018-12-28 20:12:50,173][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:12:50] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:12:50,381][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:12:50] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:30,160][pt:7900:2904][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[INFO][tm:2018-12-28 20:13:30,161][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:30] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:30,164][pt:7900:2904][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[INFO][tm:2018-12-28 20:13:30,165][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:30] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:30,266][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:30] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:32,528][pt:7900:2904][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[INFO][tm:2018-12-28 20:13:32,529][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:32] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:32,588][pt:7900:2904][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:32] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:41,209][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[INFO][tm:2018-12-28 20:13:44,674][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:13:44,674][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:13:44,724][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:44] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:44,926][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:44] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:46,200][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:13:46,200][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:13:46,201][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:46] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:13:46,259][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:13:46] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:13,010][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:13,012][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:14:13,015][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:13] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:13,019][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:13,019][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:14:13,023][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:13] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:13,134][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:13] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:14,345][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:14,345][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:14:14,348][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:14] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:14,424][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:14] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:19,150][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:19,151][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:14:19,154][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:19] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:19,246][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:19] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:28,505][pt:8980:9952][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:28,505][pt:8980:9952][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ssssssssss
[INFO][tm:2018-12-28 20:14:28,509][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:28] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:28,624][pt:8980:9952][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:28] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:37,578][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[INFO][tm:2018-12-28 20:14:47,905][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:14:47,905][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:14:47,951][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:47] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:14:48,151][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:14:48] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:00,188][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:00,188][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:00,190][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:00] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:00,311][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:00] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:26,328][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:26,328][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:26,329][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:26] "GET / HTTP/1.1" 200 -
